Tiempo,Susceptibles,Infectados,Recuperados
-5,9.5,0.5,0
-4.98998998998999,9.49426910210371,0.504725173829489,0.00100572406680202
-4.97997997997998,9.48848757153633,0.509491479395176,0.00202094906849295
-4.96996996996997,9.48265503484983,0.514299207508802,0.00304575764136471
-4.95995995995996,9.47677111728998,0.519148649711946,0.00408023299807022
-4.94994994994995,9.47083544277258,0.524040098285204,0.00512445894222099
-4.93993993993994,9.46484763388263,0.528973846248668,0.0061785198687002
-4.92992992992993,9.45880731156322,0.533950187321933,0.00724250111484415
-4.91991991991992,9.45271409479256,0.538969416329921,0.00831648887751403
-4.90990990990991,9.44656760192534,0.54403182901091,0.00940056906375031
-4.8998998998999,9.44036745041023,0.54913772141948,0.0104948281702921
-4.88988988988989,9.43411325676984,0.554287389914847,0.0115993533153091
-4.87987987987988,9.42780463660073,0.559481131160866,0.0127142322384021
-4.86986986986987,9.42144120457337,0.564719242126026,0.0138395533006025
-4.85985985985986,9.41502257443217,0.570002020083455,0.0149754054843724
-4.84984984984985,9.40854835899547,0.57532976261092,0.0161218783936049
-4.83983983983984,9.40201817015555,0.580702767590821,0.0172790622536236
-4.82982982982983,9.39543161887862,0.586121333210199,0.0184470479111832
-4.81981981981982,9.3887883152048,0.591585757960729,0.019625926834469
-4.80980980980981,9.38208786824818,0.597096340638724,0.0208157911130971
-4.7997997997998,9.37532988619675,0.602653380345136,0.0220167334581144
-4.78978978978979,9.36851397631245,0.608257176485551,0.0232288472019986
-4.77977977977978,9.36163974493115,0.613908028770195,0.0244522262986582
-4.76976976976977,9.35470679746264,0.61960623721393,0.0256869653234323
-4.75975975975976,9.34771473839065,0.625352102136253,0.0269331594730912
-4.74974974974975,9.34066317127286,0.631145924161303,0.0281909045658355
-4.73973973973974,9.33355169874085,0.63698800421785,0.0294602970412969
-4.72972972972973,9.32637992250016,0.642878643539306,0.0307414339605379
-4.71971971971972,9.31914744333023,0.648818143663718,0.0320344130060514
-4.70970970970971,9.31185386108447,0.65480680643377,0.0333393324817616
-4.6996996996997,9.30449877469019,0.660844933996784,0.0346562913130231
-4.68968968968969,9.29708178214866,0.666932828804719,0.0359853890466216
-4.67967967967968,9.28960256742714,0.673070709161031,0.0373267234118279
-4.66966966966967,9.28206097116088,0.679258640361109,0.0386803884780055
-4.65965965965966,9.27445656270817,0.685496950635156,0.0400464866566738
-4.64964964964965,9.26678889453574,0.691785984065927,0.041425121398334
-4.63963963963964,9.25905752176159,0.698126081599822,0.0428163966385866
-4.62962962962963,9.25126200215498,0.704517581046889,0.0442204167981314
-4.61961961961962,9.24340189613641,0.710960817080819,0.0456372867827678
-4.60960960960961,9.23547676677765,0.717456121238953,0.0470671119833941
-4.5995995995996,9.22748617980172,0.724003821922276,0.048509998276008
-4.58958958958959,9.21942970358287,0.730604244395418,0.0499660520217068
-4.57957957957958,9.21130690914665,0.737257710786659,0.0514353800666867
-4.56956956956957,9.20311737016983,0.743964540087921,0.0529180897422435
-4.55955955955956,9.19486066298045,0.750725048154775,0.0544142888647721
-4.54954954954955,9.18653636655779,0.757539547706438,0.055924085735767
-4.53953953953954,9.17814406253241,0.764408348325771,0.0574475891418217
-4.52952952952953,9.16968333518609,0.771331756459284,0.0589849083546292
-4.51951951951952,9.16115377145189,0.77831007541713,0.0605361531309816
-4.50950950950951,9.15255496091411,0.785343605373113,0.0621014337127706
-4.4994994994995,9.14388649580834,0.792432643364678,0.0636808608269871
-4.48948948948949,9.13514797102136,0.799577483292919,0.0652745456857211
-4.47947947947948,9.12633898409126,0.806778415922575,0.0668825999861621
-4.46946946946947,9.11745913520737,0.814035728882034,0.068505135910599
-4.45945945945946,9.10850802721025,0.821349706663326,0.0701422661264198
-4.44944944944945,9.09948526559176,0.828720630622129,0.0717941037861119
-4.43943943943944,9.09039045849497,0.836148778977769,0.073460762527262
-4.42942942942943,9.08122321671423,0.843634426813216,0.0751423564725562
-4.41941941941942,9.07198315369513,0.851177846075087,0.0768390002297797
-4.40940940940941,9.06266988553454,0.858779305573644,0.0785508088918172
-4.3993993993994,9.05328303098055,0.866439070982797,0.0802778980366527
-4.38938938938939,9.04382221143253,0.874157404840102,0.0820203837273693
-4.37937937937938,9.03428705094109,0.881934566546759,0.0837783825121497
-4.36936936936937,9.02467717620811,0.889770812367616,0.0855520114242756
-4.35935935935936,9.0149922165867,0.897666395431168,0.0873413879821283
-4.34934934934935,9.00523180408126,0.905621565729555,0.0891466301891882
-4.33933933933934,8.9953955733474,0.913636570118563,0.0909678565340352
-4.32932932932933,8.98548316169203,0.921711652317625,0.0928051859903483
-4.31931931931932,8.97549420907328,0.929847052909818,0.0946587380169059
-4.30930930930931,8.96542835810054,0.938043009341869,0.0965286325575858
-4.2992992992993,8.95528525403449,0.946299755924148,0.098414990041365
-4.28928928928929,8.94506454478701,0.954617523830672,0.10031793138232
-4.27927927927928,8.93476588092127,0.962996541099106,0.102237577979626
-4.26926926926927,8.92438891565168,0.971437032630759,0.104174051717558
-4.25925925925926,8.91393330484392,0.979939220190586,0.10612747496549
-4.24924924924925,8.90339870701491,0.98850332240719,0.108097970577897
-4.23923923923924,8.89278478333283,0.997129554772819,0.11008566189435
-4.22922922922923,8.88209119761711,1.00581812964337,0.112090672739522
-4.21921921921922,8.87131761633844,1.01456925623837,0.114113127423185
-4.20920920920921,8.86046370861876,1.02338314064103,0.116153150740209
-4.1991991991992,8.84952914623127,1.03225998579816,0.118210867970565
-4.18918918918919,8.83851360360042,1.04119999152026,0.120286404879321
